pinyin,phonetic
b,bua
p,pua
m,mua
f,fua
d,duh
t,tuh
n,nuh
l,luh
g,guh
k,kuh
h,huh
j,jee
q,chee
x,shee
zh,jur
ch,chur
sh,shur
r,rrr
z,dsuh
c,tsuh
s,suh
y,yee
w,woo
a,ah
o,owe
e,uh
i,yee
u,woo
ü,yoo
ai,eye
ei,ay
ui,way
ao,ow
ou,owe
iu,yowe
ie,yee
üe,yooeh
er,are
an,ahn
en,uhn
in,een
un,woon
ün,yoon
ang,ahng
eng,uhng
ing,eeng
ong,ohng
